County,Date,DailyCount,DailyDelta,LastUpdateDate
Aransas,2020-04-20,2,0,2020-06-18
Aransas,2020-04-21,2,0,2020-06-18
Aransas,2020-04-22,2,0,2020-06-18
Aransas,2020-04-23,2,0,2020-06-18
Aransas,2020-04-24,2,0,2020-06-18
Aransas,2020-04-25,2,0,2020-06-18
Aransas,2020-04-26,2,0,2020-06-18
Aransas,2020-04-27,2,0,2020-06-18
Aransas,2020-04-28,2,0,2020-06-18
Aransas,2020-04-29,2,0,2020-06-18
Aransas,2020-04-30,2,0,2020-06-18
Aransas,2020-05-01,2,0,2020-06-18
Aransas,2020-05-02,2,0,2020-06-18
Aransas,2020-05-03,2,0,2020-06-18
Aransas,2020-05-04,2,0,2020-06-18
Aransas,2020-05-05,2,0,2020-06-18
Aransas,2020-05-06,2,0,2020-06-18
Aransas,2020-05-07,2,0,2020-06-18
Aransas,2020-05-08,2,0,2020-06-18
Aransas,2020-05-09,2,0,2020-06-18
Aransas,2020-05-10,2,0,2020-06-18
Aransas,2020-05-11,2,0,2020-06-18
Aransas,2020-05-12,2,0,2020-06-18
Aransas,2020-05-13,2,0,2020-06-18
Aransas,2020-05-14,3,1,2020-06-18
Aransas,2020-05-15,3,0,2020-06-18
Aransas,2020-05-16,3,0,2020-06-18
Aransas,2020-05-17,3,0,2020-06-18
Aransas,2020-05-18,3,0,2020-06-18
Aransas,2020-05-19,3,0,2020-06-18
Aransas,2020-05-20,4,1,2020-06-18
Aransas,2020-05-21,5,1,2020-06-18
Aransas,2020-05-22,5,0,2020-06-18
Aransas,2020-05-23,5,0,2020-06-18
Aransas,2020-05-24,5,0,2020-06-18
Aransas,2020-05-25,5,0,2020-06-18
Aransas,2020-05-26,5,0,2020-06-18
Aransas,2020-05-27,5,0,2020-06-18
Aransas,2020-05-28,5,0,2020-06-18
Aransas,2020-05-29,5,0,2020-06-18
Aransas,2020-05-30,5,0,2020-06-18
Aransas,2020-05-31,5,0,2020-06-18
Aransas,2020-06-01,5,0,2020-06-18
Aransas,2020-06-02,5,0,2020-06-18
Aransas,2020-06-03,5,0,2020-06-18
Aransas,2020-06-04,5,0,2020-06-18
Aransas,2020-06-05,5,0,2020-06-18
Aransas,2020-06-06,5,0,2020-06-18
Aransas,2020-06-07,5,0,2020-06-18
Aransas,2020-06-08,5,0,2020-06-18
Aransas,2020-06-09,5,0,2020-06-18
Aransas,2020-06-10,5,0,2020-06-18
Aransas,2020-06-11,5,0,2020-06-18
Aransas,2020-06-12,6,1,2020-06-18
Aransas,2020-06-13,6,0,2020-06-18
Aransas,2020-06-14,6,0,2020-06-18
Aransas,2020-06-15,6,0,2020-06-18
Aransas,2020-06-16,7,1,2020-06-18
Aransas,2020-06-17,7,0,2020-06-18
Archer,2020-03-04,0,,2020-06-18
Archer,2020-03-05,0,0,2020-06-18
Archer,2020-03-06,0,0,2020-06-18
Archer,2020-03-09,0,0,2020-06-18
Archer,2020-03-10,0,0,2020-06-18
Archer,2020-03-11,0,0,2020-06-18
Archer,2020-03-12,0,0,2020-06-18
Archer,2020-03-13,0,0,2020-06-18
Archer,2020-03-15,0,0,2020-06-18
Archer,2020-03-16,0,0,2020-06-18
Archer,2020-03-17,0,0,2020-06-18
Archer,2020-03-18,0,0,2020-06-18
Archer,2020-03-19,0,0,2020-06-18
Archer,2020-03-20,0,0,2020-06-18
Archer,2020-03-21,0,0,2020-06-18
Archer,2020-03-22,0,0,2020-06-18
Archer,2020-03-23,0,0,2020-06-18
Archer,2020-03-24,0,0,2020-06-18
Archer,2020-03-25,0,0,2020-06-18
Archer,2020-03-26,0,0,2020-06-18
Archer,2020-03-27,0,0,2020-06-18
Archer,2020-03-28,0,0,2020-06-18
Archer,2020-03-29,0,0,2020-06-18
Archer,2020-03-30,0,0,2020-06-18
Archer,2020-03-31,0,0,2020-06-18
Archer,2020-04-01,0,0,2020-06-18
Archer,2020-04-02,0,0,2020-06-18
Archer,2020-04-03,0,0,2020-06-18
Archer,2020-04-04,0,0,2020-06-18
Archer,2020-04-05,0,0,2020-06-18
Archer,2020-04-06,0,0,2020-06-18
Archer,2020-04-07,0,0,2020-06-18
Archer,2020-04-08,0,0,2020-06-18
Archer,2020-04-09,0,0,2020-06-18
Archer,2020-04-10,0,0,2020-06-18
Archer,2020-04-11,0,0,2020-06-18
Archer,2020-04-12,0,0,2020-06-18
Archer,2020-04-13,0,0,2020-06-18
Archer,2020-04-14,0,0,2020-06-18
Archer,2020-04-15,0,0,2020-06-18
Archer,2020-04-16,0,0,2020-06-18
Archer,2020-04-17,0,0,2020-06-18
Archer,2020-04-18,0,0,2020-06-18
Archer,2020-04-19,0,0,2020-06-18
Archer,2020-04-20,0,0,2020-06-18
Archer,2020-04-21,0,0,2020-06-18
Archer,2020-04-22,0,0,2020-06-18
Archer,2020-04-23,0,0,2020-06-18
Archer,2020-04-24,0,0,2020-06-18
Archer,2020-04-25,0,0,2020-06-18
Archer,2020-04-26,0,0,2020-06-18
Archer,2020-04-27,0,0,2020-06-18
Archer,2020-04-28,0,0,2020-06-18
Archer,2020-04-29,0,0,2020-06-18
Archer,2020-04-30,0,0,2020-06-18
Archer,2020-05-01,0,0,2020-06-18
Archer,2020-05-02,0,0,2020-06-18
Archer,2020-05-03,0,0,2020-06-18
Archer,2020-05-04,0,0,2020-06-18
Archer,2020-05-05,0,0,2020-06-18
Archer,2020-05-06,0,0,2020-06-18
Archer,2020-05-07,0,0,2020-06-18
Archer,2020-05-08,0,0,2020-06-18
Archer,2020-05-09,0,0,2020-06-18
Archer,2020-05-10,0,0,2020-06-18
Archer,2020-05-11,0,0,2020-06-18
Archer,2020-05-12,0,0,2020-06-18
Archer,2020-05-13,0,0,2020-06-18
Archer,2020-05-14,0,0,2020-06-18
Archer,2020-05-15,1,1,2020-06-18
Archer,2020-05-16,1,0,2020-06-18
Archer,2020-05-17,1,0,2020-06-18
Archer,2020-05-18,1,0,2020-06-18
Archer,2020-05-19,1,0,2020-06-18
Archer,2020-05-20,1,0,2020-06-18
Archer,2020-05-21,1,0,2020-06-18
Archer,2020-05-22,1,0,2020-06-18
Archer,2020-05-23,1,0,2020-06-18
Archer,2020-05-24,1,0,2020-06-18
Archer,2020-05-25,1,0,2020-06-18
Archer,2020-05-26,1,0,2020-06-18
Archer,2020-05-27,1,0,2020-06-18
Archer,2020-05-28,1,0,2020-06-18
Archer,2020-05-29,1,0,2020-06-18
Archer,2020-05-30,1,0,2020-06-18
Archer,2020-05-31,1,0,2020-06-18
Archer,2020-06-01,1,0,2020-06-18
Archer,2020-06-02,1,0,2020-06-18
Archer,2020-06-03,1,0,2020-06-18
Archer,2020-06-04,1,0,2020-06-18
Archer,2020-06-05,2,1,2020-06-18
Archer,2020-06-06,2,0,2020-06-18
Archer,2020-06-07,2,0,2020-06-18
Archer,2020-06-08,2,0,2020-06-18
Archer,2020-06-09,3,1,2020-06-18
Archer,2020-06-10,3,0,2020-06-18
Archer,2020-06-11,3,0,2020-06-18
Archer,2020-06-12,3,0,2020-06-18
Archer,2020-06-13,3,0,2020-06-18
Archer,2020-06-14,3,0,2020-06-18
